Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Genesis GV60 Premium	74 kWh useable battery          Available since June 2022	7.8 sec	185 km/h	390 km	190 Wh/km		Rear Wheel Drive	5		
Genesis GV60 Sport	74 kWh useable battery          Available since June 2022	5.5 sec	200 km/h	380 km	195 Wh/km		All Wheel Drive	5	€63,200	
Genesis GV60 Sport Plus	74 kWh useable battery          Available since June 2022	4.0 sec	235 km/h	365 km	203 Wh/km		All Wheel Drive	5	€73,100	
Volkswagen e-Up! 	32.3 kWh useable battery          Available since August 2021	11.9 sec	130 km/h	205 km	158 Wh/km		Front Wheel Drive	4	€29,995	
Volkswagen ID. Buzz Pro	77 kWh useable battery          Available since September 2022	10.2 sec	145 km/h	330 km	233 Wh/km		Rear Wheel Drive	5	€64,581	
Mercedes EQE AMG 43 4MATIC	90.6 kWh useable battery          Available since April 2022	4.2 sec	210 km/h	485 km	187 Wh/km		All Wheel Drive	5	€103,827	
Mercedes EQE AMG 53 4MATIC+	90.6 kWh useable battery          Available since July 2022	3.5 sec	240 km/h	480 km	189 Wh/km		All Wheel Drive	5	€109,777	
Nissan Leaf 	39 kWh useable battery          Available since March 2022	7.9 sec	144 km/h	235 km	166 Wh/km		Front Wheel Drive	5	€33,400	
Nissan Leaf e+	59 kWh useable battery          Available since March 2022	6.9 sec	157 km/h	340 km	174 Wh/km		Front Wheel Drive	5	€41,100	
Hyundai IONIQ 5 Long Range 2WD	74 kWh useable battery          Available since April 2022	7.3 sec	185 km/h	390 km	190 Wh/km		Rear Wheel Drive	5	€47,900	
Hyundai IONIQ 5 Long Range AWD	74 kWh useable battery          Available since April 2022	5.1 sec	185 km/h	385 km	192 Wh/km		All Wheel Drive	5	€59,200	
Mercedes EQB 250	66.5 kWh useable battery          Available since March 2022	8.9 sec	160 km/h	345 km	193 Wh/km		Front Wheel Drive	7	€52,550	
Kia Niro EV 	64.8 kWh useable battery          Available since June 2022	7.8 sec	167 km/h	380 km	171 Wh/km		Front Wheel Drive	5	€47,590	
Smart #1 	62 kWh useable battery          Available since March 2023	6.7 sec	180 km/h	330 km	188 Wh/km		Rear Wheel Drive	5	€42,490	
